Freq[Hz]    GD[ms]  Phase[Deg]
11661.2      0.052  -152.223
11830.8      0.053  -153.340
12002.9      0.053  -154.869
12177.5      0.054  -158.422
12354.6      0.055  -164.368
12534.3      0.055  -171.248
12716.6      0.055  -176.995
12901.6      0.055   179.178
13089.2      0.055   177.362
13279.6      0.055   176.189
13472.8      0.055   173.510
13668.8      0.056   167.876
13867.6      0.055   160.624
14069.3      0.055   155.795
14273.9      0.054   154.230
14481.5      0.053   153.498
14692.2      0.052   151.049
14905.9      0.051   145.839
15122.7      0.050   138.808
15342.7      0.049   132.229
15565.8      0.048   128.587
15792.2      0.047   125.960
16021.9      0.046   121.398
16255.0      0.045   115.706
16491.4      0.044   111.129
16731.3      0.044   108.738
16974.7      0.043   107.091
17221.6      0.042   103.530
17472.1      0.040    99.013
17726.2      0.039    95.751
17984.0      0.038    93.010
18245.6      0.037    89.968
18511.0      0.036    86.717
18780.2      0.036    83.616
19053.4      0.035    80.210
19330.5      0.035    75.781
19611.7      0.034    72.431
19897.0      0.034    71.089
20186.4      0.033    67.404
20480.0      0.033    63.776
20777.9      0.033    60.030
21080.1      0.032    56.284
21386.7      0.032    52.539
21697.8      0.032    48.793
22013.4      0.032    45.047
22333.6      0.031    41.302
22658.4      0.031    37.556
22988.0      0.031    33.810
23322.4      0.031    30.065
23661.6      0.030    26.319
24005.8      0.030    22.574
24355.0      0.030    18.828
24709.2      0.029    15.082
25068.6      0.029    11.337
25433.2      0.028     7.591
25803.2      0.028     3.845
26178.5      0.028     0.100
26559.3      0.027    -3.646
26945.6      0.027    -7.392
27337.5      0.026   -11.137
27735.2      0.026   -14.883
28138.6      0.026   -18.629
28547.9      0.025   -22.374
28963.1      0.025   -26.120
29384.4      0.025   -29.866
29811.8      0.024   -33.611
30245.4      0.024   -37.357
30685.3      0.024   -41.103
31131.7      0.023   -44.848
31584.5      0.023   -48.594
32043.9      0.023   -52.340
32510.0      0.022   -56.085
32982.8      0.022   -59.831
33462.6      0.022   -63.577
33949.3      0.022   -67.322
34443.1      0.021   -71.068
34944.1      0.021   -74.814
35452.4      0.021   -78.559
35968.0      0.021   -82.305
36491.2      0.021   -86.051
37022.0      0.020   -89.796
37560.5      0.020   -93.542
38106.8      0.020   -97.288
38661.1      0.020  -101.033
39223.4      0.020  -104.779
39793.9      0.020  -108.525
